ID,Name,MarketplaceId,CreatedDate,ModifiedDate,Deleted,DeletedDate,DeletedUser,SyncHealthStatus,OrderHookCheckStock
27,Marcas QA,9,"May 8, 2025, 6:46 PM","June 4, 2025, 1:41 PM",,"January 1, 2000, 12:00 AM",,green,
30,Cofarmen - QA,9,"May 9, 2025, 5:45 PM","June 4, 2025, 1:41 PM",,"January 1, 2000, 12:00 AM",,green,
31,Kellerhoff QA,9,"May 16, 2025, 11:36 AM","June 4, 2025, 1:42 PM",,"January 1, 2000, 12:00 AM",,green,
16,Drogueria Sur QA,9,"April 14, 2025, 6:44 PM","June 4, 2025, 1:42 PM",,"January 1, 2000, 12:00 AM",,green,
33,Cofarsur QA,9,"May 22, 2025, 3:42 PM","June 4, 2025, 1:44 PM",,"January 1, 2000, 12:00 AM",,green,
17,Doan,9,"April 14, 2025, 6:45 PM","June 4, 2025, 1:52 PM",,"January 1, 2000, 12:00 AM",,green,
7,Drogueria del Sud,9,"March 5, 2025, 8:32 PM","June 4, 2025, 1:53 PM",,"January 1, 2000, 12:00 AM",,green,
19,Asoprofarma,9,"April 14, 2025, 6:52 PM","June 4, 2025, 1:53 PM",,"January 1, 2000, 12:00 AM",,green,
20,20 de Junio,9,"April 14, 2025, 6:55 PM","June 4, 2025, 1:53 PM",,"January 1, 2000, 12:00 AM",,green,
37,Mayorista Lider,9,"July 17, 2025, 6:57 PM","July 17, 2025, 6:57 PM",,"January 1, 2000, 12:00 AM",,green,
38,Suizo Argentina QA,9,"July 23, 2025, 11:48 AM","July 23, 2025, 11:48 AM",,"January 1, 2000, 12:00 AM",,green,
39,Acofar QA,9,"July 23, 2025, 11:49 AM","July 23, 2025, 11:49 AM",,"January 1, 2000, 12:00 AM",,green,
40,Cofaral QA,9,"July 23, 2025, 11:50 AM","July 23, 2025, 11:50 AM",,"January 1, 2000, 12:00 AM",,green,
41,Drogueria Test,9,"July 23, 2025, 12:20 PM","July 23, 2025, 12:20 PM",false,"January 1, 2000, 12:00 AM",,green,
9,Kellerhoff,1,"March 13, 2025, 6:18 PM","August 1, 2025, 11:30 AM",,"January 1, 2000, 12:00 AM",,green,
13,Drogueria Test Stress - Monroe Americana S.A,6,"April 11, 2025, 2:07 PM","August 3, 2025, 11:20 AM",,"January 1, 2000, 12:00 AM",,green,
46,Mayorista Lider,6,"August 6, 2025, 3:40 PM","August 6, 2025, 3:40 PM",,"January 1, 2000, 12:00 AM",,green,
34,Asoprofarma,1,"June 6, 2025, 12:37 PM","September 16, 2025, 2:02 PM",,"January 1, 2000, 12:00 AM",,green,https://compra-beauty-backoffice.unilever.axumweb.com/Hooks/QueryStock
11,Suizo Argentina,1,"March 13, 2025, 6:20 PM","September 16, 2025, 2:05 PM",,"January 1, 2000, 12:00 AM",,green,https://compra-beauty-backoffice.unilever.axumweb.com/Hooks/QueryStock
42,Cofarmen,1,"August 1, 2025, 11:21 AM","September 16, 2025, 2:11 PM",,"January 1, 2000, 12:00 AM",,green,https://compra-beauty-backoffice.unilever.axumweb.com/Hooks/QueryStock
15,QA Suiza Maglione,9,"April 14, 2025, 6:42 PM","August 12, 2025, 1:27 PM",,"January 1, 2000, 12:00 AM",,green,
18,Cofarsur,1,"April 14, 2025, 6:51 PM","September 16, 2025, 2:19 PM",,"January 1, 2000, 12:00 AM",,green,https://compra-beauty-backoffice.unilever.axumweb.com/Hooks/QueryStock
26,Disval,9,"May 7, 2025, 5:59 PM","September 26, 2025, 12:10 PM",,"January 1, 2000, 12:00 AM",,green,
43,Disval,1,"August 1, 2025, 11:21 AM","October 23, 2025, 7:16 PM",,"January 1, 2000, 12:00 AM",,green,
48,Marquise Swaniawski,13,"January 9, 2026, 1:49 PM","January 9, 2026, 1:49 PM",,"January 1, 2000, 12:00 AM",,green,
47,Kirk Reynolds,13,"January 9, 2026, 1:49 PM","January 9, 2026, 1:49 PM",,"January 1, 2000, 12:00 AM",,green,
49,Camilla Bins,13,"January 9, 2026, 1:49 PM","January 9, 2026, 1:49 PM",,"January 1, 2000, 12:00 AM",,green,
45,Drogueria del Sud,1,"August 1, 2025, 11:22 AM","August 13, 2025, 1:16 PM",,"January 1, 2000, 12:00 AM",,green,
22,Mayorista Lider,1,"April 15, 2025, 8:40 PM","August 21, 2025, 2:58 PM",,"January 1, 2000, 12:00 AM",,green,
50,Franco Pandolfo,13,"January 23, 2026, 6:14 PM","January 23, 2026, 6:14 PM",,"January 1, 2000, 12:00 AM",,green,
12,Monroe Americana SA,1,"March 13, 2025, 6:20 PM","August 29, 2025, 8:28 PM",,"January 1, 2000, 12:00 AM",,green,https://compra-beauty-backoffice.unilever.axumweb.com/Hooks/QueryStock
44,Doan,1,"August 1, 2025, 11:21 AM","September 9, 2025, 5:29 PM",,"January 1, 2000, 12:00 AM",,green,
35,Marcas,1,"June 18, 2025, 7:49 PM","September 10, 2025, 3:06 PM",false,"January 1, 2000, 12:00 AM",,green,
23,Monroe Americana SA. QA,9,"April 16, 2025, 1:07 PM","September 15, 2025, 3:20 PM",,"January 1, 2000, 12:00 AM",,green,
36,20 de Junio,1,"July 7, 2025, 4:00 PM","September 16, 2025, 1:51 PM",,"January 1, 2000, 12:00 AM",,green,https://compra-beauty-backoffice.unilever.axumweb.com/Hooks/QueryStock
51,Franco Pandolfo 2,13,"January 23, 2026, 6:14 PM","January 23, 2026, 6:14 PM",,"January 1, 2000, 12:00 AM",,green,
