ID,ErpOrderId,OriginOrderId,OriginSystemCode,ConfirmedByUserId,CustomerLocationId,SalesPersonId,State,ErpState,MarketplaceId,MarketplaceDistributorId,OrderDate,DeliveryDate,ErpLastModified,TotalGrossPrice,TotalDiscountPercentage ($),TotalTaxes,TotalFinalPrice,OrderLevelTaxesJson,PaymentMethodId,Observations,ExtraData,CreatedDate,ModifiedDate,Deleted,DeletedDate,DeletedUser,AppliedCoupons
36177,194436,194436,CB PHARMEXX,,83444,,FINALIZADO,IMPORTED,1,11,"July 22, 2025, 12:00 AM",,,"70,789.76",0.00,0,"6,800,780",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36178,194435,194435,CB PHARMEXX,,87992,,FINALIZADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"102,682.98",0.00,0,"8,933,102",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36179,194434,194434,CB PHARMEXX,,87325,,FINALIZADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"135,004.78",0.00,0,"10,002,841",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36180,194433,194433,CB PHARMEXX,,84322,,FINALIZADO,IMPORTED,1,22,"July 22, 2025, 12:00 AM",,,"3,926,092.62",0.00,0,"305,209,564",[],,Coronado,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36181,194432,194432,CB PHARMEXX,,83228,,FINALIZADO,IMPORTED,1,22,"July 22, 2025, 12:00 AM",,,"755,327.28",0.00,0,"58,384,404",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36182,194431,194431,CB PHARMEXX,,82432,,FINALIZADO,IMPORTED,1,12,"July 22, 2025, 12:00 AM",,,"19,505.7",0.00,0,"1,462,929",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36183,194430,194430,CB PHARMEXX,,82438,,FINALIZADO,IMPORTED,1,12,"July 22, 2025, 12:00 AM",,,"19,505.7",0.00,0,"1,462,929",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36184,194429,194429,CB PHARMEXX,,90219,,FINALIZADO,IMPORTED,1,12,"July 22, 2025, 12:00 AM",,,"17,400.29",0.00,0,"1,414,935",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36185,194428,194428,CB PHARMEXX,,82445,,FINALIZADO,IMPORTED,1,12,"July 22, 2025, 12:00 AM",,,"13,003.8",0.00,0,"975,286",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36186,194427,194427,CB PHARMEXX,,82434,,FINALIZADO,IMPORTED,1,12,"July 22, 2025, 12:00 AM",,,"13,003.8",0.00,0,"975,286",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
92393,,92393,CompraBeauty,67184,83423,,ENVIADO,,1,45,"January 30, 2026, 10:43 PM",,,"2,179,967.32",31.79,"312,243.88","1,799,119.53",[],,,,"January 27, 2026, 1:03 PM","January 27, 2026, 1:03 PM",,"January 1, 2000, 12:00 AM",,[]
73942,,73942,CompraBeauty,72401,88848,,FINALIZADO,,1,45,"October 24, 2025, 4:44 PM",,,"112,363.84",39.47,"14,282.95","82,297",[],,,,"October 7, 2025, 5:48 PM","October 7, 2025, 5:48 PM",,"January 1, 2000, 12:00 AM",,[]
2267,,0,CB QA,44,81,,FINALIZADO,,9,12,"May 12, 2025, 3:52 PM",,,"11,379.23",8.33,"2,190.55","12,621.71",[],,,,"April 15, 2025, 4:24 PM","April 15, 2025, 4:24 PM",,"January 1, 2000, 12:00 AM",,[]
7867,,20250613_202953#3fd3ce99-90fc-4936-806d-15152278615c,AXUM,,10334,1,ENVIADO,NUEVO,9,31,"June 13, 2025, 8:31 PM",,,"21,957.58",15.00,"3,723.13","18,234.45",[],,|CodigoDeposito:31|Old360ID:7860,"{""hasCico"":false,""checkOutDateTime"":""2025-06-13T20:31:08"",""old360Id"":7860,""operation"":1}","June 13, 2025, 8:40 PM","June 13, 2025, 8:40 PM",,"January 1, 2000, 12:00 AM",,[]
7818,,7818,CompraBeauty,116,10327,,FINALIZADO,,9,7,"June 6, 2025, 6:44 PM",,,"48,410.92",41.50,"5,947.28","34,267.67",[],,,,"June 3, 2025, 3:28 PM","June 3, 2025, 3:28 PM",,"January 1, 2000, 12:00 AM",,[300]
7885,,20250626_000042#1e7b0555-042f-4dfc-8919-4b4b8b2f63ab,AXUM,,6856,235,NUEVO,NUEVO,7,,"June 26, 2025, 12:00 AM",,,"23,655.26",0.00,"4,105.46","23,655.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-06-26T00:00:52"",""operation"":1}","June 26, 2025, 12:05 AM","June 26, 2025, 12:05 AM",,"January 1, 2000, 12:00 AM",,[]
7910,,20250701_223347#e04967cd-a987-4c7c-ab91-492248623203,AXUM,,6856,235,NUEVO,NUEVO,7,,"July 1, 2025, 10:33 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-01T22:33:52"",""operation"":2}","July 1, 2025, 10:44 PM","July 1, 2025, 10:44 PM",,"January 1, 2000, 12:00 AM",,[]
7935,,20250703_000245#298caaec-e18d-42cd-afbc-24d6baf8abf2,AXUM,,10144,235,NUEVO,NUEVO,7,,"July 3, 2025, 12:02 AM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T00:02:52"",""operation"":4}","July 3, 2025, 12:06 AM","July 3, 2025, 12:06 AM",,"January 1, 2000, 12:00 AM",,[]
7936,,20250703_000125#e8a9733c-5042-4877-b715-71c46bf818c2,AXUM,,10144,235,NUEVO,NUEVO,7,,"July 3, 2025, 12:01 AM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T00:01:25"",""operation"":2}","July 3, 2025, 12:07 AM","July 3, 2025, 12:07 AM",,"January 1, 2000, 12:00 AM",,[]
7937,,20250702_235815#bead894f-2168-4fff-a168-a48a6afdacbb,AXUM,,10144,235,NUEVO,NUEVO,7,,"July 2, 2025, 11:58 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-02T23:58:15"",""operation"":1}","July 3, 2025, 12:07 AM","July 3, 2025, 12:07 AM",,"January 1, 2000, 12:00 AM",,[]
7827,,7827,CompraBeauty,,10333,297,ENVIADO,,1,32,"June 5, 2025, 4:29 PM",,,"57,409.13",7.81,"11,114.75","64,042.11",[],,,,"June 5, 2025, 4:17 PM","June 5, 2025, 4:17 PM",,"January 1, 2000, 12:00 AM",,[181]
7956,,20250703_194655#b1e2ab5e-56dc-48f0-84d5-bb6386dbc898,AXUM,,6856,235,NUEVO,NUEVO,7,,"July 3, 2025, 7:47 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T19:47:02"",""operation"":4}","July 3, 2025, 8:10 PM","July 3, 2025, 8:10 PM",,"January 1, 2000, 12:00 AM",,[]
50,,0,,,51,,BORRADOR,,9,,"February 21, 2025, 11:09 AM",,,"2,771.57",25.00,436.52,"2,515.2",[],,,,"February 21, 2025, 11:09 AM","February 21, 2025, 11:09 AM",,"January 1, 2000, 12:00 AM",,[]
7877,,7877,CompraBeauty,136,10345,,FINALIZADO,,1,18,"June 25, 2025, 1:18 PM",,,"483,483.69",36.21,"64,764.15","373,164.88",[],,,,"June 25, 2025, 1:15 PM","June 25, 2025, 1:15 PM",,"January 1, 2000, 12:00 AM",,[181 196]
7991,,20250721_185320#d24ee675-7703-4f65-a697-153c1bd5adb8,AXUM,,6207,288,NUEVO,NUEVO,8,,"July 21, 2025, 6:53 PM",,,"40,986.57",0.00,"7,113.37","40,986.57",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-21T18:53:24"",""operation"":1}","July 21, 2025, 6:57 PM","July 21, 2025, 6:57 PM",,"January 1, 2000, 12:00 AM",,[]
8002,,20250721_222123#51e4a168-c24e-458f-92f2-b5406f68240d,AXUM,,8948,235,NUEVO,NUEVO,7,,"July 21, 2025, 10:21 PM",,,"22,891.76",0.00,"4,207.59","22,891.76",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-21T22:21:23"",""operation"":1}","July 21, 2025, 10:24 PM","July 21, 2025, 10:24 PM",,"January 1, 2000, 12:00 AM",,[]
8003,,20250721_222300#3b5f86b5-6e79-48b3-9cd9-bd6cd8dd7534,AXUM,,8948,235,NUEVO,NUEVO,7,,"July 21, 2025, 10:23 PM",,,"22,891.76",0.00,"4,207.59","22,891.76",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-21T22:23:00"",""operation"":2}","July 21, 2025, 10:27 PM","July 21, 2025, 10:27 PM",,"January 1, 2000, 12:00 AM",,[]
7844,,7844,CB QA,,142,,BORRADOR,,9,,"June 10, 2025, 11:25 AM",,,"2,231.97",10.00,421.84,"2,430.62",[],,,,"June 10, 2025, 11:25 AM","June 10, 2025, 11:25 AM",,"January 1, 2000, 12:00 AM",,[300]
36187,194425,194425,CB PHARMEXX,,89775,,FINALIZADO,IMPORTED,1,10,"July 22, 2025, 12:00 AM",,,"54,740",0.00,0,"3,992,539",[],,.,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36188,194424,194424,CB PHARMEXX,,90007,,FINALIZADO,IMPORTED,1,42,"July 22, 2025, 12:00 AM",,,"26,151.32",0.00,0,"1,725,622",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36189,194423,194423,CB PHARMEXX,,89550,,FINALIZADO,IMPORTED,1,42,"July 22, 2025, 12:00 AM",,,"23,379.75",0.00,0,"1,503,896",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36190,194422,194422,CB PHARMEXX,,89552,,FINALIZADO,IMPORTED,1,42,"July 22, 2025, 12:00 AM",,,"19,517",0.00,0,"1,393,906",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36191,194421,194421,CB PHARMEXX,,88725,,FINALIZADO,IMPORTED,1,42,"July 22, 2025, 12:00 AM",,,"24,303.29",0.00,0,"1,728,946",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36192,194420,194420,CB PHARMEXX,,88730,,FINALIZADO,IMPORTED,1,42,"July 22, 2025, 12:00 AM",,,"24,773.9",0.00,0,"1,840,743",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36193,194419,194419,CB PHARMEXX,,88729,,FINALIZADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"26,788.62",0.00,0,"1,954,057",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36194,194418,194418,CB PHARMEXX,,90091,,FINALIZADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"24,303.29",0.00,0,"1,728,946",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36195,194417,194417,CB PHARMEXX,,90090,,FINALIZADO,IMPORTED,1,42,"July 22, 2025, 12:00 AM",,,"22,288.57",0.00,0,"1,615,632",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36196,194416,194416,CB PHARMEXX,,88728,,FINALIZADO,IMPORTED,1,42,"July 22, 2025, 12:00 AM",,,"22,288.57",0.00,0,"1,615,632",[],,",",,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36197,194415,194415,CB PHARMEXX,,90024,,FINALIZADO,IMPORTED,1,34,"July 22, 2025, 12:00 AM",,,"47,675.66",0.00,0,"4,767,566",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36198,194414,194414,CB PHARMEXX,,82101,,FINALIZADO,IMPORTED,1,45,"July 22, 2025, 12:00 AM",,,"924,433.8",0.00,0,"79,781,502",[],,SAN LORENZO-TYB SUD,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
36199,194413,194413,CB PHARMEXX,,82104,,FINALIZADO,IMPORTED,1,45,"July 21, 2025, 12:00 AM",,,"1,359,154.08",0.00,0,"117,989,718",[],,YEMA-TYB SUD,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
51,,0,,,89,,BORRADOR,,9,,"February 21, 2025, 1:36 PM",,,0,0.00,0,0,[],,,,"February 21, 2025, 1:36 PM","February 21, 2025, 1:36 PM",,"January 1, 2000, 12:00 AM",,[]
7828,,7828,CompraBeauty,,10333,,BORRADOR,,1,,"June 5, 2025, 4:29 PM",,,0,0.00,0,0,[],,,,"June 5, 2025, 4:29 PM","June 5, 2025, 4:29 PM",,"January 1, 2000, 12:00 AM",,[]
7886,,20250627_140254#4f388a3a-c398-4bd1-9aeb-b6b7f5600c4b,AXUM,,10320,299,FINALIZADO,NUEVO,1,25,"June 27, 2025, 5:08 PM",,,"10,441.01",91.00,"2,113.97","8,327.04",[],,|CodigoDeposito:25|Cupones:179,"{""hasCico"":false,""checkOutDateTime"":""2025-06-27T17:08:13"",""old360Id"":null,""operation"":1}","June 27, 2025, 5:26 PM","June 27, 2025, 5:26 PM",,"January 1, 2000, 12:00 AM",,[179]
36200,194412,194412,CB PHARMEXX,,86284,,FINALIZADO,IMPORTED,1,22,"July 21, 2025, 12:00 AM",,,"381,436.75",0.00,0,"32,557,927",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
1209,,1209,CompraBeauty,,161,,ENVIADO,,1,10,"April 11, 2025, 2:37 PM",,,"1,392,163.19",36.26,"186,342.14","1,073,685.66",[],,,,"April 10, 2025, 10:07 PM","June 3, 2025, 11:29 AM",,"January 1, 2000, 12:00 AM",,[181]
217,,217,CompraBeauty,,161,,ENVIADO,,1,10,"April 11, 2025, 2:37 PM",,,"1,392,163.19",36.26,"186,342.14","1,073,685.66",[],,,,"April 4, 2025, 11:52 AM","June 3, 2025, 11:17 AM",,"January 1, 2000, 12:00 AM",,[181]
7911,,20250701_223411#2763e278-b128-4b6b-8249-1947a2837336,AXUM,,6856,235,NUEVO,NUEVO,7,,"July 1, 2025, 10:34 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-01T22:34:17"",""operation"":4}","July 1, 2025, 10:44 PM","July 1, 2025, 10:44 PM",,"January 1, 2000, 12:00 AM",,[]
651,,651,CompraBeauty,,151,,FINALIZADO,,1,10,"April 3, 2025, 1:27 PM",,,"18,481",0.00,"3,881.01","22,362.01",[],,,,"April 7, 2025, 12:15 PM","April 7, 2025, 12:15 PM",,"January 1, 2000, 12:00 AM",,[]
110,,0,CompraBeauty,,150,,CANCELADO,,1,12,"April 1, 2025, 3:34 PM",,,"57,955.98",25.00,"9,128.34","52,596.64",[],,,,"April 1, 2025, 3:34 PM","April 1, 2025, 3:34 PM",,"January 1, 2000, 12:00 AM",,[]
115,,0,CompraBeauty,,150,,FINALIZADO,,1,12,"April 3, 2025, 11:17 AM",,,"57,955.98",27.63,"8,807.83","50,749.88",[],,,,"April 3, 2025, 11:17 AM","April 3, 2025, 11:17 AM",,"January 1, 2000, 12:00 AM",,[]
116,,116,CompraBeauty,,151,,FINALIZADO,,1,10,"April 3, 2025, 1:27 PM",,,"18,481",0.00,"3,881.01","22,362.01",[],,,,"April 3, 2025, 1:27 PM","April 3, 2025, 1:27 PM",,"January 1, 2000, 12:00 AM",,[]
7840,,7840,CB QA,116,10327,,FINALIZADO,,9,7,"June 17, 2025, 4:59 PM",,,"56,033.12",43.49,"6,649.09","38,311.42",[],,,,"June 6, 2025, 6:44 PM","June 6, 2025, 6:44 PM",,"January 1, 2000, 12:00 AM",,[300 308]
8004,,8004,CB QA,130,10340,,ENVIADO,,9,31,"August 19, 2025, 11:30 AM",,,"21,239.2",32.19,"3,024.49","17,426.82",[],,,,"July 22, 2025, 1:05 PM","July 22, 2025, 1:05 PM",,"January 1, 2000, 12:00 AM",,[]
36201,194411,194411,CB PHARMEXX,,84168,,FINALIZADO,IMPORTED,1,36,"July 21, 2025, 12:00 AM",,,"119,877.89",0.00,0,"9,944,380",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
7938,,20250703_103633#dfebd197-dfb3-466e-85aa-fee62a8fda89,AXUM,,10346,316,ENVIADO,ENVIADO,1,9,"July 3, 2025, 1:42 PM",,,"52,792.4",91.50,"9,885.28","42,907.12",[],,|CodigoDeposito:9|Cupones:179,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T13:42:57"",""old360Id"":null,""operation"":1}","July 3, 2025, 2:03 PM","July 3, 2025, 4:40 PM",,"January 1, 2000, 12:00 AM",,[179]
7957,,20250703_211350#c45eef03-c899-4341-86f3-580b2fe8d887,AXUM,,10144,235,NUEVO,NUEVO,7,,"July 3, 2025, 9:13 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T21:13:58"",""operation"":4}","July 3, 2025, 9:18 PM","July 3, 2025, 9:18 PM",,"January 1, 2000, 12:00 AM",,[]
7958,,20250703_211448#ddc8d3d2-70db-4d60-88e2-db1c0980d3cc,AXUM,,10144,235,NUEVO,NUEVO,7,,"July 3, 2025, 9:14 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T21:14:49"",""operation"":4}","July 3, 2025, 9:18 PM","July 3, 2025, 9:18 PM",,"January 1, 2000, 12:00 AM",,[]
7959,,20250703_204532#b3fd998d-6231-42e8-b34a-f9ac4fe74c61,AXUM,,10144,235,NUEVO,NUEVO,7,,"July 3, 2025, 8:45 PM",,,"26,061.34",0.00,"4,523.04","26,061.34",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T20:45:32"",""operation"":1}","July 3, 2025, 9:18 PM","July 3, 2025, 9:18 PM",,"January 1, 2000, 12:00 AM",,[]
36202,194410,194410,CB PHARMEXX,,90149,,FINALIZADO,IMPORTED,1,44,"July 21, 2025, 12:00 AM",,,"96,104.07",0.00,0,"6,384,744",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
7854,,7854,CB QA,1,163,,CANCELADO,,9,23,"June 19, 2025, 2:26 PM",,,"2,257.49",0.00,474.07,"2,731.56",[],,,,"June 13, 2025, 11:23 AM","June 13, 2025, 11:23 AM",,"January 1, 2000, 12:00 AM",,[]
7960,,20250703_211149#f794b949-1e85-4c70-a82b-1e7195ab2b65,AXUM,,10144,235,NUEVO,NUEVO,7,,"July 3, 2025, 9:11 PM",,,"18,176.26",0.00,"3,154.56","18,176.26",[],,,"{""hasCico"":false,""checkOutDateTime"":""2025-07-03T21:11:49"",""operation"":2}","July 3, 2025, 9:18 PM","July 3, 2025, 9:18 PM",,"January 1, 2000, 12:00 AM",,[]
36203,194406,194406,CB PHARMEXX,,85330,,FINALIZADO,IMPORTED,1,44,"July 21, 2025, 12:00 AM",,,"555,873.06",0.00,0,"39,577,990",[],,,,"August 1, 2025, 11:23 AM","August 1, 2025, 11:23 AM",,"January 1, +1000000000, 12:00 AM",,[]
